TRAFFIC_CONTROL_DEVICE,WEATHER_CONDITION,LIGHTING_CONDITION,ALIGNMENT,ROADWAY_SURFACE_COND,POSTED_SPEED_LIMIT,TRAFFICWAY_TYPE,CRASH_TYPE,DAMAGE,MOST_SEVERE_INJURY,INJURIES_TOTAL,narratives
NO CONTROLS,FOG/SMOKE/HAZE,DUSK,"CURVE, LEVEL",WET,30,DIVIDED - W/MEDIAN BARRIER,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500","REPORTED, NOT EVIDENT",1,"As I made my way home on a damp evening, the fog hung thick in the air, making it hard to see beyond the glow of my headlights. The road was a curve, gently winding through the divide with a median barrier, guiding me along. The street was deserted, no traffic controls in sight to slow me down. With the sun setting, the dim light of dusk cast eerie shadows on the wet pavement. I kept my speed in check, knowing the posted limit was just 30 mph. Despite the conditions, I felt a sense of calm as I navigated the level roadway, anticipating the familiar sights of home ahead."
NO CONTROLS,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down a straight and level road with no traffic lights or signs in sight. The weather was clear, the sun shining brightly overhead, bathing the surroundings in a warm daylight glow. The pavement was dry, offering good traction as I maintained the 30 mph speed limit. The road wasn't divided, with cars traveling in both directions on the same stretch. It felt peaceful, just me and the road ahead, with no distractions or obstructions in my path. The conditions were perfect for a smooth and uneventful journey."
NO CONTROLS,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,30,FOUR WAY,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"As I cruised down the straight and level road under the clear sky, I noticed there were no traffic lights or stop signs to slow me down. It was a typical daylight drive, with the dry road glistening in the sun as I followed the 30 mph speed limit. The four-way intersection was quiet, with no other cars in sight as I approached. The road surface felt smooth beneath my tires, making for a pleasant and uneventful journey."
STOP SIGN/FLASHER,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,30,FOUR WAY,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down a straight and level road at night, the streetlights illuminating the dry pavement. As I approached the four-way intersection, I noticed a flashing stop sign ahead. The posted speed limit was 30, so I made sure to keep my speed in check. Despite the darkness, visibility was clear, allowing me to see the road clearly. The intersection was well-lit and I could see all the other vehicles approaching from different directions. The road surface felt solid beneath my tires as I continued towards the intersection. Even though it was late at night, there was a steady flow of traffic coming from all directions, creating a busy atmosphere at the intersection."
TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,30,ONE-WAY,INJURY AND / OR TOW DUE TO CRASH,$500 OR LESS,NONINCAPACITATING INJURY,1,"As I cruised down the one-way street with a speed limit of 30 mph, I couldn't help but notice the traffic signal up ahead, casting a red glow against the clear night sky. Despite the darkness surrounding me, the road was well-lit, making it easy to navigate the straight and level stretch in front of me. The dry surface beneath my tires provided good traction as I maintained a steady pace. It was a peaceful drive, with no other vehicles in sight along this quiet route. I felt a sense of calmness as I continued on my journey, enjoying the solitude of the road ahead."
UNKNOWN,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,30,DIVIDED - W/MEDIAN (NOT RAISED),NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"I was cruising down the straight and level road, the sun shining brightly in the sky. The weather, on the other hand, wasn't so nice - rain pouring down, making the roadway surface glisten with wetness. I was driving at a moderate speed of 30 mph, taking it easy on the slick road. The traffic control device was nowhere to be seen, adding a hint of unpredictability to the drive. The road was divided with a median, keeping the flow of traffic separate. Despite the rain, visibility was decent thanks to the daylight. It felt like a typical day on the road, with the occasional splash from passing cars and the sound of tires rolling on the wet pavement."
NO CONTROLS,RAIN,DARKNESS,STRAIGHT AND LEVEL,WET,20,PARKING LOT,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"As I drove through the parking lot, there were no traffic controls to follow. The rain coming down made it hard to see with darkness settling in. The road ahead appeared straight and level, but the wet surface made me cautious. Even though the posted speed limit was only 20, I could feel the tires gripping the slippery pavement. The surroundings were quiet, with only the sound of raindrops hitting the rooftop. Despite the weather conditions, I tried to stay focused and alert as I navigated through the nearly empty parking lot."
NO CONTROLS,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,15,PARKING LOT,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising through the parking lot, the sun shining brightly overhead, and there were no traffic controls in sight. The road was flat and even, the surface dry beneath my tires. With a posted speed limit of 15 mph, I wasn't in any rush as I made my way through the lot. The clear weather made visibility crystal clear, and the daylight illuminated the rows of parked cars around me. It felt like a leisurely drive on a lazy afternoon, just me and the open lot ahead."
TRAFFIC SIGNAL,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down a straight and level road, the sun shining brightly with clear weather conditions, making everything look crisp and clear. The traffic signal ahead showed a steady green light as I maintained my speed at 30 mph. The roadway surface was dry, providing good traction for my car's tires. The road was not divided, with cars moving in both directions, but the day was so bright and visibility was excellent that everyone seemed to be driving cautiously. I felt relaxed, with the warm sun streaming in through the windows, making me feel at ease behind the wheel."
NO CONTROLS,FOG/SMOKE/HAZE,DUSK,STRAIGHT AND LEVEL,WET,30,ONE-WAY,NO INJURY / DRIVE AWAY,$500 OR LESS,NO INDICATION OF INJURY,0,"I was driving down a straight and level one-way road with no traffic controls in place. The sky was getting darker as dusk settled in, and a thick fog enveloped the surroundings. The wet road surface glistened under the fading light, making visibility even poorer. Despite the posted speed limit of 30, I found myself gripping the wheel a bit tighter, relying on my instincts to navigate through the haze. The combination of the low visibility and slippery road surface added an extra layer of tension to the already eerie atmosphere. My eyes strained to make out any shapes looming ahead in the mist, while the dampness in the air added a chill to my spine. The lack of streetlights made the road ahead seem endless, disappearing into the foggy unknown. As I cautiously continued on my path, I couldn't shake off the feeling of unease that hung in the air, amplifying the sense of isolation."
UNKNOWN,UNKNOWN,UNKNOWN,STRAIGHT AND LEVEL,UNKNOWN,35,UNKNOWN,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising along a straight and level road where the traffic control device was nowhere to be seen. The weather was unknown, so all I could do was keep my eyes on the road ahead. The lighting conditions also remained a mystery as the sun was nowhere to be seen. The road surface condition was hard to gauge, but despite the uncertainty, I maintained a steady speed of 35 MPH as per the posted speed limit. The trafficway type was unknown, adding to the sense of the unexpected as I continued on my journey."
NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,STRAIGHT AND LEVEL,DRY,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down the road on a straight and level stretch, with no traffic control devices in sight. The weather was a bit cloudy and overcast, but it was still daylight so visibility was pretty good. The dry road surface made for smooth driving as I stuck to the 30 mph speed limit. The trafficway was not divided, so I had to watch out for oncoming vehicles. The lack of controls meant being extra cautious at intersections."
TRAFFIC SIGNAL,SNOW,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,FOUR WAY,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500","REPORTED, NOT EVIDENT",1,"I was driving along a straight and level road at night, with the traffic signal ahead showing red. The road was illuminated by streetlights, although the darkness made it a bit challenging with the snow starting to fall. The roadway was wet from the wintry mix, making it slippery. The speed limit was 30 miles per hour, and I was approaching a four-way intersection cautiously. The conditions were a bit tense, but I made sure to stay alert and focused on the road ahead."
NO CONTROLS,FREEZING RAIN/DRIZZLE,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,10,PARKING LOT,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"I was driving through a parking lot with no traffic signals or signs around. It was a dark night, but luckily the road was well-lit, helping me see clearly. The weather wasn't on my side though, freezing rain was falling creating a slippery situation. The road was straight and flat, making it easier to navigate. The wet surface added an extra layer of challenge as my car tires struggled for grip. As I maneuvered cautiously through the parking lot with a posted speed limit of only 10 mph, I could feel the tension in the air due to the tricky conditions. I kept my eyes peeled and hands steady on the wheel, aware that one wrong move could lead to trouble."
NO CONTROLS,UNKNOWN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,UNKNOWN,30,DIVIDED - W/MEDIAN (NOT RAISED),NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down a straight and level road with no traffic control devices in sight. The street was mostly dark, but thankfully it was lit up just enough for me to see. I couldn't quite make out the weather conditions, but it seemed calm. The road had a divided section with a median running through it, giving a clear separation for opposing lanes of traffic. I noted the speed limit was 30 mph. Despite the unknown roadway surface condition, I felt confident as I cruised along."
NO CONTROLS,UNKNOWN,UNKNOWN,STRAIGHT AND LEVEL,UNKNOWN,0,PARKING LOT,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving around in this parking lot with no traffic controls, not a single stop sign or traffic light in sight. The weather was a bit unknown, couldn't really make out if it was going to rain or stay dry. The lighting was also kind of mysterious, couldn't tell if it was day or night with the way the lights were flickering. The road was straight and level, easy to maneuver around the parked cars. Couldn't quite figure out the surface condition, it was a bit rough in some spots. And to top it off, there was no posted speed limit to follow. Just me, cruising along in this parking lot, not a care in the world."
STOP SIGN/FLASHER,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,30,FOUR WAY,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down a straight and level road, the streetlights casting a soft glow on the dry surface. The posted speed limit was 30, so I was cruising along, not a care in the world. The four-way intersection up ahead had a stop sign, which I noticed along with the flashing lights. Despite the darkness, the road was well lit, making it easy to see. The weather was clear, adding to the calm atmosphere of the night. The traffic was light, and I had a feeling it was going to be a smooth ride."
